text_es,text_en
PREPUSIO REDUNDANTE,REDUNDANT PREPUSE
FX HUMERO DER,FX HUMERO RIGHT
FX CUBITO Y RADIO IZDO,FX CUBE AND LEFT RADIO
LESION MENISCO DERECHA,RIGHT MENISCUS INJURY
HERNIORRAFINA INGUINAL BILATERAL,BILATERAL INGUINAL HERNIORRAFINE
- GAMMOPATIA MONOCLONAL TIPO IGG KAPPA EN TIPIFICACION,- IGG KAPPA TYPE MONOCLONAL GAMMOPATHY IN TYPIFICATION
MIOMAS,MYOMAS
LITIASIS RENAL DER,DER KIDNEY LITHIASIS
HALLUX VALGUS BILATERAL/DEDOS GARRA,BILATERAL HALLUX VALGUS/CLAW FINGERS
DESVIACION MANDIBULAR,MANDIBULAR DEVIATION
CA DE MAMA IZQUIERDA .,LEFT BREAST CA.
TUMOR DE LÓBULO INFERIOR IZQUIERDO,LEFT LOWER LOBE TUMOR
", RGE,"", RGE"""
ESTENOSIS SUBGLÓTICA CORREGIDA,CORRECTED SUBGLOTTIC STENOSIS
FÍSTULA DE LCR .,CSF FISTULA.
DISPEPSIA .,DYSPEPSIA.
VARICOCELE,VARICOCELE
OBSTRUCCIÓN DE VIAS BILIARES .,BILE TRACT OBSTRUCTION.
CA MAMA DER,CA MAMA RIGHT
CBC NODULAR DORSO Y APEX NASAL,DORSO NODULAR CBC AND NASAL APEX
MEDULOBLASTOMA,MEDULOBLASTOMA
TUMOR MAMA IZQUIERDO,LEFT BREAST TUMOR
EMBZO TERMINO/G1PO,EMBZO TERMINO/G1PO
TENOSINOVITIS MANO DERECHA,RIGHT HAND TENOSYNOVITIS
HUD,hud
COJERA,LIMP
ESTRABISMO AMBOS OJOS,STRABISMUS BOTH EYES
RESECCIÓN DE TUMOR EN TEJIDOS BLANDOS REG CERVICAL,CERVICAL REG SOFT TISSUE TUMOR RESECTION
LESIÓN DE MANGUITO ROTADOR,ROTATOR Cuff INJURY
RUPTURA L. TRIANGULAR MANO DERECHA,L. TRIANGULAR RUPTURE RIGHT HAND
RUPTURA MENISCO RODILLA IZQUIERDA,LEFT KNEE MENISCUS RUPTURE
PROTESIS MAMARIAS,BREAST PROSTHESIS
TUMOR ANEXIAL DERECHO,RIGHT ANNEXAL TUMOR
RGE TRAST. DEGLUCIÓN,RGE TRAST. SWALLOWING
FRACTURA EN TIBIA IZQUIERDA .,FRACTURE IN LEFT TIBIA.
DEFORMIDAD TIBIA POST-TRAUMA,POST-TRAUMA TIBIA DEFORMITY
SD DE PRADER WILLY,SD DE PRADER WILLY
ESTENOSIS DE VÍA BILIAR,BILIARY duct stenosis
TUMOR CEREBRAL,BRAIN TUMOR
CA ESCAMOCELULAR EN PÁRPADO IZQUIERDO,SQUAMOCELLULAR CA IN LEFT EYELID
ESCOLIOSIS,SCOLIOSIS
ENCEFALOPATÍA NECROTIZANTE AGUDA .,ACUTE NECROTIZING ENCEPHALOPATHY.
SANGRADO RECTAL,RECTAL BLEEDING
PAPILOMATOSIS LARÍNGEA,LARYNGEAL PAPILLOMATOSIS
ESTREÑIMIENTO CRÓNICO,CHRONIC CONSTIPATION
LEIMIOMA,LEIMIOMA
TUMOR PIE DERECHO,RIGHT FOOT TUMOR
TUMOR PARED TORAX,CHEST WALL TUMOR
REFLUJO,REFLUX
LUXACION HOMBRO IZQ,LEFT SHOULDER DISLOCATION
POP OST FX M SUP IZQ,POP OST FX M TOP LEFT
LESION MENISCOS,MENISCUS INJURY
CATARATA OI,OI CATARACT
MIOMATOSIS UTERINA .,UTERINE MYOMATOSIS.
FRACTURA ANTIGUA DE FEMUR,OLD FEMUR FRACTURE
CATARATA OD,CATARACT OD
DIARREA C´NICA,CHINESE DIARRHEA
ARTROSIS DE RODILLA,KNEE ARTHROSIS
PAPILOMA LARINGEO .,LARYNGEAL PAPILLOMA.
SÍNCOPE,SYNCOPE
GRANULOMA SUBGLÓTICO,SUBGLOTTIC GRANULOMA
PT SANO,PT SANO
"LESION MANO IZQ , MAS INCONTINENCIA URINARIA,""LEFT HAND INJURY, MORE URINARY INCONTINENCE"""
FRACTURA DISTAL RADIO,DISTAL RADIUS FRACTURE
POLIPO CUERDA VOCAL,VOCAL CORD POLYP
TRAUMA MANO DERECHA,RIGHT HAND TRAUMA
H UMBILICAL,H UMBILICAL
TUMOR MAMA IZQ,LEFT BREAST TUMOR
DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPE,ABDOMINAL PAIN LOCATED IN THE UPPER PART
ESPOONDIITIS ANQUILOSANTE,ANKYLOSING SPOONDIITIS
EMBARAZO A TERMINO,TERMINATE PREGNANCY
DEDO EN MARTILLO PIE DERECHO,HAMMER TOE RIGHT FOOT
DOLOR LUMBAR,LOWER PAIN
QUISTE EN CABEZA DE PÁNCREAS.,CYST IN HEAD OF PANCREAS.
"DESIACIÓN DE TABIQUE , HIPERTROFIA DE ORNETES .,""SEPTUM DESIATION, ORNET HYPERTROPHY."""
LESIÓN DE EXTENSOR DE 3 DEDO MANO DERECHA,RIGHT HAND 3 FINGER EXTENSOR INJURY
CONDOMATOSIS,CONDOMATOSIS
ESTENOSIS DE CONDUCTOS BILIARES .,BILE DUCT STENOSIS.
PTE SANA,HEALTHY PTE
QUISTE ÓSEO DE CLAVICULA DERECHA,BONE CYST OF RIGHT CLAVICLE
MASA SUBMAXILAR,SUBMAXILLARY MASS
LESIÓN DE HOMBRO IZQUIERDO,LEFT SHOULDER INJURY
FRACTURA DE LA EPIFISIS INFERIOR DE LA T,FRACTURE OF THE LOWER EPIPHYSIS OF THE T
HIPERTROFIA DE LAS ADENOIDES,HYPERTROPHY OF THE ADENOIDS
REFLUJO Y ESTREÑIMIENTO,REFLUX AND CONSTIPATION
HIDROCELE,HYDROCELE
HIPERTROFIA ADENOIDES AMIGDALAS,TONSIL ADENOID HYPERTROPHY
TUMNOR RECTO,STRAIGHT TUMNOR
CARATAS AMBIOS OJOS,FACES BIG EYES
BALANITIS,BALANITIS
LESIONES EN PIEL,SKIN INJURIES
TOS ESTUDIO,COUGH STUDY
TRAUMA MAXILOFACIAL,MAXILLOFACIAL TRAUMA
VOMITO,VOMIT
SD. CONVULSIVO,SD. CONVULSIVE
OBSTRUCCION DEL CUELLO DE LA VEJIGA,BLADDER NECK OBSTRUCTION
POP LESION HOMBRO IZQUIERDO,POP LEFT SHOULDER INJURY
LESION  NODULAR,NODULAR LESION
HIPERTROFIA DE ADENOIDES Y CORNETES,HYPERTROPHY OF ADENOIDS AND CORNETS
TUNOR PIERNA DERECHA,TUNOR RIGHT LEG
POP PROSTATECTOMIA  ABIERTA,POP OPEN PROSTATECTOMY
HEPATITIS  AUTOINMUNE,AUTOIMMUNE HEPATITIS
LESION HOMBRO IZQUIERDO,LEFT SHOULDER INJURY
TUMOR  M INF IZQ,TUMOR M BOTTOM LEFT
DESPLAZAMIENTO Y COLAPSO DE  FRACTURA,FRACTURE DISPLACEMENT AND COLLAPSE
SINEQUIA UTERINA,UTERINE SYNECHIA
INSUFICIENCIA VENOSA GII,GII VENOUS INSUFFICIENCY
TUMOR BRAZO IZDO,LEFT ARM TUMOR
RE FRACTURA CLAVICULA DR,RE CLAVICLE FRACTURE DR
"FISURA ANAL , FÍSTULA ANAL .,""ANAL FISSURE, ANAL FISTULA."""
MANGUITO ROTADOR HOMBRO IZQUIERDO,LEFT SHOULDER ROTATOR CUFF
CA DE MAMA DERECHA,CA OF RIGHT BREAST
MASA PARPADO INFERIOR IZQUIERDA,LEFT LOWER EYELID MASS
EMBARAZO DE LATO RIESGO,HIGH RISK PREGNANCY
CA DE MAMA .,MAMA'S CA.
HIPOSPADIAS .,HYPOSPADIAS.
ESTRABISMO .,STRABISMUS.
GANGLION DORSAL DE MUÑECA IZUIQERDA,DORSAL GANGLION OF LEFT WRIST
SD TUNEL DEL CARPO MANO DERECHA,SD RIGHT HAND CARPAL TUNNEL
DOLOR HOMBRO,SHOULDER PAIN
LESION DE TENDONES TOBILLO DERECHO,RIGHT ANKLE TENDON INJURY
SD DEL TUNEL DEL CARPO,CARPAL TUNNEL SD
TUMOR MANO IZQUIERDA .,LEFT HAND TUMOR.
HIPERHIDROSIS PALMOPLANTAR,PALMOPLANTAR HYPERHYDROSIS
LESIÓN TUMORAL COSTILLAS,RIB TUMORAL LESION
HEMANGIOMA SUBLINGUAL,SUBLINGUAL HEMANGIOMA
GANGLION MANO,HAND GANGLION
POP CADERA IZQ,LEFT HIP POP
ILEOSTOMIA,ILEOSTOMY
NODULO TIROIDEO,THYROID NODULE
EPILEPSIA,EPILEPSY
ATERIALE DE OST,OST ATERIAL
SDME TUNEL CARPIANO,SDME CARPAL TUNNEL
LESION MENISCAL,MENISCAL INJURY
TENOSINOVITIS,TENOSYNOVITIS
LESIÓN DE MENISCO,MENISCUS INJURY
TUMOR EN TESTÍCULO,TUMOR IN TESTICLE
SANGRADO UTERINO ANORMAL .,ABNORMAL UTERINE BLEEDING.
HIPERPLASIA DE ENDOMETRIO,ENDOMETRIAL HYPERPLASIA
FISURA ANAL,ANAL FISSURE
"OTITS MEDIA CRÓNICA, OTOSCLEROSIS .,""CHRONIC OTITS MEDIA, OTOSCLEROSIS."""
TUMOR PALADAR,PALATE TUMOR
TUNEL DEL CARPO IZQDO,LEFT CARPAL TUNNEL
DIARREA CRONICA,CHRONIC DIARRHEA
CA ESCAMOCELL CONJUNTIVA IZQDA,CA ESCAMOCELL LEFT CONJUNCTIVA
PERFORACION TIMPANICA HIPOACUSIA,TYMPANICAL PERFORATION HYPOACUSIS
POP DEDOS EN MARTILLO BILATERAL,POP FINGERS IN BILATERAL HAMMER
PIE EQUINO VARO IZQUIERDO,LEFT EQUINUUS VARUUS FOOT
ESOFAGUITIS EOSINOFILICA,EOSINOPHILIC ESOPHAGITIS
OSTEOMA OSTEOIDE TIBIA DER,RIGHT TIBIA OSTEOID OSTEOMA
FX INTRAARTICULAR FALANGE PROXIMAL PIE DER,INTRA-ARTICULAR FX PROXIMAL PHALANGE RIGHT FOOT
ENF ACIDO PEPTICA,PEPTICA ACID DISEASE
TUNEL CARPO MANO DER,RIGHT HAND CARPAL TUNNEL
FX MALEOLO EXT MII,FX MALEOLO EXT MII
HIPERHIDROSIS MANOS Y AXILAS,HYPERHYDROSIS OF HANDS AND ARMPITS
TERATOMA SACROCOCCIGEO.,SACROCOCCYGEAL TERATOMA.
TOS CRÓNICA,CHRONIC COUGH
POLIPO EN VESÍCULA,BLADDER POLYP
PTERIGION,PTERYGION
CA DE VEJIGA,BLADDER CA
ESTREÑIMIENTO,CONSTIPATION
NEFROLITIASIS DERECHA,RIGHT NEPHROLITHIASIS
ARTROSIS DE ROILLA,ROLL ARTHROSIS
CA DE TIROIDES .,THYROID CA.
OSTEOMIELITIS CODO,ELBOW OSTEOMYELITIS
TERATOMA EN OVARIO DERECHO,TERATOMA IN THE RIGHT OVARY
PROLAPSO GENITAL,GENITAL PROLAPSE
LESIÓN ANEXIAL DERECHA,RIGHT ANNEXAL INJURY
LESION OJO IZQUIERDO,LEFT EYE INJURY
TALLA EN P10,SIZE IN P10
LESION MENISCO RODILLA DERECHA,RIGHT KNEE MENISCUS INJURY
TRAUMA SEVERO OJO IZQUIERDO,SEVERE LEFT EYE TRAUMA
SD ARNOLD CHIARI,SD ARNOLD CHIARI
ADENOSIS MICRGLANDULAR,MICRGLANDULAR ADENOSIS
TRAUMA  OCULAR,EYE TRAUMA
GLAUCOMA CONGENITA,CONGENITAL GLAUCOMA
"MIOMATOSIS , CISTOPEXIA .,""MYOMATOSIS, CYSTOPEXY."""
LLA,LLA
TUMOR DESMOIDES .,DESMOID TUMOR.
SECELAS DOLOROSAS DE TRAUMA DE TOBILLO,PAINFUL SECELATIONS OF ANKLE TRAUMA
SD ROBINOW .,SD ROBINOW.
TRAUMA DE RODILLA,KNEE TRAUMA
REFLUJO GASTROESOFAGICO .,GASTROESOPHAGEAL REFLUX.
CA BASOCELULAR,BASIC CELLULAR CA
HERNIA INGUINAL IZQUIERDA .,LEFT INGUINAL HERNIA.
INCONINENCIA URINARIA,URINARY INCONINENCE
FRACTURA DE V METACARPIANO MANO DER,FRACTURE OF V METACARPAL RIGHT HAND
FRACTURA DE ESCAFOIDES MANO IZQUIERDA,LEFT HAND SCAPHOID FRACTURE
MIELOMA MULTIPLE,MULTIPLE MYELOMA
REFLUJO GASTROESIFÁGICO,GASTROESYPHAGEAL REFLUX
SINUSITIS CRONICA.,CHRONIC SINUSITIS.
DISPOSITIVO INTRAUTERINO,INTRAUTERINE DEVICE
TUNEL CARPIANO MANO DERECHA,RIGHT HAND CARPAL TUNNEL
VERRUGAS PERINANALES.,PERINANAL WARTS.
LESION EN CUERO CABELLUDO,SCALP INJURY
GANGLIÓN MUÑECA IZQUIERDA.,LEFT WRIST GANGLION.
GNGLION PALMAR MUÑECA DERECHA.,GNGLION PALMAR RIGHT WRIST.
VARICES ESOFAGICAS,ESOPHAGEAL VARICES
CARIES DENTALES.,DENTAL CAVIES.
CARDIOPATIA CONGENITA,CONGENITAL HEART DISEASE
LESION PLIEGUE VOCAL DERECHO.,RIGHT VOCAL FOLD INJURY.
LESION MANGUITO ROTADOR  HOMBRO IZQU,LEFT SHOULDER ROTATOR Cuff INJURY
NEUROMA CUARTO DEDO MANO IZQUIERDA.,NEUROMA OF THE FOURTH FINGER OF THE LEFT HAND.
HERNIA UMBILICAL.,UMBILICAL HERNIA.
TUMOR TALLO CEREVRAL,BRAIN STEM TUMOR
CA DE MAMA IZQUIERDA,LEFT BREAST AC
CATARATA,CATARACT
TUMOR HIGADO,LIVER TUMOR
CA BASOCELULAR EN CARA,BASIC CELLULAR AC ON THE FACE
DISCOPATÍA LUMBAR L4L5,LUMBAR DISCOPATHY L4L5
LESION OVARIO DERECHA,RIGHT OVARIAN INJURY
